ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
14,1.0,0.9902213507906572,JARI5-baseline,Wrong,389,rank_bin_bottom_preserve,RR,GPT-4,389,1.0
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
9,0.9960146924570076,0.9739948935270428,JARI5-baseline,Both,387,rank_top1,RR,GPT-4,391,0.989769820971867
14,0.991301408033754,0.9635122053239144,JARI5-baseline,Both,384,rank_top1,RR,GPT-4,391,0.9820971867007672
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
5,0.9741246230124568,0.9332238320110594,JARI5-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,383,0.95822454308094
5,0.5907245696898311,0.071479212752109,JARI5-baseline,Correct,2,rank_bin_bottom_preserve,RR,GPT-4,8,0.25
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_overall,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
9,0.8472146425583496,0.7694036679125549,JARI5-baseline,Correct,314,rank_bin_top_preserve,RR,GPT-4,387,0.8113695090439277
9,0.6993581574175981,0.0455872608097005,JARI5-baseline,Correct,1,rank_bin_bottom_preserve,RR,GPT-4,4,0.25
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_overall,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
14,0.5039378163491215,0.4036752519012425,JARI5-baseline,Correct,170,rank_bin_top_preserve,RR,GPT-4,375,0.4533333333333333
14,0.8151876744113636,0.3864104054550271,JARI5-baseline,Correct,10,rank_bin_bottom_preserve,RR,GPT-4,16,0.625
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
5,0.6873262302663417,0.1681803297062361,JARI5-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI5-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
9,0.4344824647831747,0.0,JARI5-baseline,Wrong,0,rank_bin_top_preserve,RR,GPT-4,5,0.0
9,1.0,0.9901460998214124,JARI5-baseline,Wrong,386,rank_bin_bottom_preserve,RR,GPT-4,386,1.0
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_overall,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
14,0.9054687942657692,0.0945312057342307,JARI5-baseline,Wrong,1,rank_bin_top_preserve,RR,GPT-4,2,0.5
14,1.0,0.9902213507906572,JARI5-baseline,Wrong,389,rank_bin_bottom_preserve,RR,GPT-4,389,1.0
5,0.9895967538178524,0.960151535331022,JARI5-baseline,Both,383,rank_top1,RR,GPT-4,391,0.979539641943734
9,0.9960146924570076,0.9739948935270428,JARI5-baseline,Both,387,rank_top1,RR,GPT-4,391,0.989769820971867
14,0.991301408033754,0.9635122053239144,JARI5-baseline,Both,384,rank_top1,RR,GPT-4,391,0.9820971867007672
5,0.9895967538178524,0.960151535331022,JARI9-baseline,Correct,383,rank_bin_overall,RR,GPT-4,391,0.979539641943734
5,0.9327528555725604,0.8751663557300822,JARI9-baseline,Correct,355,rank_exact,RR,GPT-4,391,0.907928388746803
5,0.991119149232902,0.9627599957918204,JARI9-baseline,Correct,376,rank_bin_top_preserve,RR,GPT-4,383,0.9817232375979112
5,0.9775825085499432,0.5291118177871464,JARI9-baseline,Correct,7,rank_bin_bottom_preserve,RR,GPT-4,8,0.875
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Correct,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
9,0.8696856578279965,0.7964044756284142,JARI9-baseline,Correct,327,rank_exact,RR,GPT-4,391,0.8363171355498721
9,0.9894888532625687,0.9597451433544668,JARI9-baseline,Correct,379,rank_bin_top_preserve,RR,GPT-4,387,0.979328165374677
9,0.4898908364545973,0.0,JARI9-baseline,Correct,0,rank_bin_bottom_preserve,RR,GPT-4,4,0.0
14,0.978553554511301,0.9408027893848095,JARI9-baseline,Correct,377,rank_bin_overall,RR,GPT-4,391,0.9641943734015346
14,0.8834663098716568,0.8130157688375178,JARI9-baseline,Correct,333,rank_exact,RR,GPT-4,391,0.8516624040920716
14,0.9891512905763844,0.9584746665127392,JARI9-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,375,0.9786666666666668
14,0.8151876744113636,0.3864104054550271,JARI9-baseline,Correct,10,rank_bin_bottom_preserve,RR,GPT-4,16,0.625
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.820636573683457,0.7390817513882798,JARI9-baseline,Wrong,306,rank_exact,RR,GPT-4,391,0.782608695652174
5,0.6873262302663417,0.1681803297062361,JARI9-baseline,Wrong,4,rank_bin_top_preserve,RR,GPT-4,10,0.4
5,0.9973185828404268,0.9771086557142438,JARI9-baseline,Wrong,378,rank_bin_bottom_preserve,RR,GPT-4,381,0.9921259842519684
9,0.997387249779346,0.9776876604134984,JARI9-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.789750458603189,0.7041186517542258,JARI9-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
9,0.882379225767352,0.2307242812760128,JARI9-baseline,Wrong,3,rank_bin_top_preserve,RR,GPT-4,5,0.6
9,0.9995425360236752,0.9854732731250876,JARI9-baseline,Wrong,385,rank_bin_bottom_preserve,RR,GPT-4,386,0.9974093264248703
14,0.9945258140782346,0.970418447697022,JARI9-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
14,0.8182735579228833,0.7363794429400594,JARI9-baseline,Wrong,305,rank_exact,RR,GPT-4,391,0.7800511508951407
14,0.9054687942657692,0.0945312057342307,JARI9-baseline,Wrong,1,rank_bin_top_preserve,RR,GPT-4,2,0.5
14,0.9959941661779134,0.973862735239157,JARI9-baseline,Wrong,385,rank_bin_bottom_preserve,RR,GPT-4,389,0.9897172236503856
5,0.9929486436989288,0.9669302938675338,JARI9-baseline,Both,385,rank_top1,RR,GPT-4,391,0.9846547314578004
9,0.9960146924570076,0.9739948935270428,JARI9-baseline,Both,387,rank_top1,RR,GPT-4,391,0.989769820971867
14,0.9860497458032612,0.9535678949280252,JARI9-baseline,Both,381,rank_top1,RR,GPT-4,391,0.9744245524296676
5,0.9960146924570076,0.9739948935270428,JARI14-baseline,Correct,387,rank_bin_overall,RR,GPT-4,391,0.989769820971867
5,0.9625524543114384,0.9162812959143202,JARI14-baseline,Correct,369,rank_exact,RR,GPT-4,391,0.9437340153452686
5,0.99953895159785,0.9853606534276764,JARI14-baseline,Correct,382,rank_bin_top_preserve,RR,GPT-4,383,0.9973890339425588
5,0.8631557141764026,0.3057423946026273,JARI14-baseline,Correct,5,rank_bin_bottom_preserve,RR,GPT-4,8,0.625
9,0.9929486436989288,0.9669302938675338,JARI14-baseline,Correct,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
9,0.8719905810605654,0.7991648766046392,JARI14-baseline,Correct,328,rank_exact,RR,GPT-4,391,0.8388746803069054
9,0.99736020940128,0.9774596092269964,JARI14-baseline,Correct,384,rank_bin_top_preserve,RR,GPT-4,387,0.992248062015504
9,0.6993581574175981,0.0455872608097005,JARI14-baseline,Correct,1,rank_bin_bottom_preserve,RR,GPT-4,4,0.25
14,0.9766158224274766,0.93767519725984,JARI14-baseline,Correct,376,rank_bin_overall,RR,GPT-4,391,0.9616368286445012
14,0.8673776183924268,0.79364719085519,JARI14-baseline,Correct,326,rank_exact,RR,GPT-4,391,0.8337595907928389
14,0.9891512905763844,0.9584746665127392,JARI14-baseline,Correct,367,rank_bin_top_preserve,RR,GPT-4,375,0.9786666666666668
14,0.7690134759450765,0.331785563988119,JARI14-baseline,Correct,9,rank_bin_bottom_preserve,RR,GPT-4,16,0.5625
5,0.9823581474561264,0.947128844857572,JARI14-baseline,Wrong,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
5,0.789750458603189,0.7041186517542258,JARI14-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
5,0.8318196702937638,0.3126737697336582,JARI14-baseline,Wrong,6,rank_bin_top_preserve,RR,GPT-4,10,0.6
5,0.989322739317452,0.9591197728757608,JARI14-baseline,Wrong,373,rank_bin_bottom_preserve,RR,GPT-4,381,0.979002624671916
9,0.997387249779346,0.9776876604134984,JARI14-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.7777806685769929,0.690761820736452,JARI14-baseline,Wrong,288,rank_exact,RR,GPT-4,391,0.7365728900255755
9,0.882379225767352,0.2307242812760128,JARI14-baseline,Wrong,3,rank_bin_top_preserve,RR,GPT-4,5,0.6
9,0.9995425360236752,0.9854732731250876,JARI14-baseline,Wrong,385,rank_bin_bottom_preserve,RR,GPT-4,386,0.9974093264248703
14,0.9929486436989288,0.9669302938675338,JARI14-baseline,Wrong,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
14,0.8253557942820167,0.7444931792073082,JARI14-baseline,Wrong,308,rank_exact,RR,GPT-4,391,0.7877237851662404
14,0.6576197724933469,0.0,JARI14-baseline,Wrong,0,rank_bin_top_preserve,RR,GPT-4,2,0.0
14,0.9959941661779134,0.973862735239157,JARI14-baseline,Wrong,385,rank_bin_bottom_preserve,RR,GPT-4,389,0.9897172236503856
5,0.9823581474561264,0.947128844857572,JARI14-baseline,Both,379,rank_top1,RR,GPT-4,391,0.969309462915601
9,0.9945258140782346,0.970418447697022,JARI14-baseline,Both,386,rank_top1,RR,GPT-4,391,0.9872122762148338
14,0.9804684632250308,0.9439532048798736,JARI14-baseline,Both,378,rank_top1,RR,GPT-4,391,0.9667519181585678
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_overall,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_overall,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_overall,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
5,0.9895967538178524,0.960151535331022,JARI9-baseline,Correct,383,rank_bin_overall,RR,GPT-4,391,0.979539641943734
5,0.9327528555725604,0.8751663557300822,JARI9-baseline,Correct,355,rank_exact,RR,GPT-4,391,0.907928388746803
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Correct,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
9,0.8696856578279965,0.7964044756284142,JARI9-baseline,Correct,327,rank_exact,RR,GPT-4,391,0.8363171355498721
14,0.978553554511301,0.9408027893848095,JARI9-baseline,Correct,377,rank_bin_overall,RR,GPT-4,391,0.9641943734015346
14,0.8834663098716568,0.8130157688375178,JARI9-baseline,Correct,333,rank_exact,RR,GPT-4,391,0.8516624040920716
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.820636573683457,0.7390817513882798,JARI9-baseline,Wrong,306,rank_exact,RR,GPT-4,391,0.782608695652174
9,0.997387249779346,0.9776876604134984,JARI9-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.789750458603189,0.7041186517542258,JARI9-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
14,0.9945258140782346,0.970418447697022,JARI9-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
14,0.8182735579228833,0.7363794429400594,JARI9-baseline,Wrong,305,rank_exact,RR,GPT-4,391,0.7800511508951407
5,0.9960146924570076,0.9739948935270428,JARI14-baseline,Correct,387,rank_bin_overall,RR,GPT-4,391,0.989769820971867
5,0.9625524543114384,0.9162812959143202,JARI14-baseline,Correct,369,rank_exact,RR,GPT-4,391,0.9437340153452686
9,0.9929486436989288,0.9669302938675338,JARI14-baseline,Correct,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
9,0.8719905810605654,0.7991648766046392,JARI14-baseline,Correct,328,rank_exact,RR,GPT-4,391,0.8388746803069054
14,0.9766158224274766,0.93767519725984,JARI14-baseline,Correct,376,rank_bin_overall,RR,GPT-4,391,0.9616368286445012
14,0.8673776183924268,0.79364719085519,JARI14-baseline,Correct,326,rank_exact,RR,GPT-4,391,0.8337595907928389
5,0.9823581474561264,0.947128844857572,JARI14-baseline,Wrong,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
5,0.789750458603189,0.7041186517542258,JARI14-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
9,0.997387249779346,0.9776876604134984,JARI14-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.7777806685769929,0.690761820736452,JARI14-baseline,Wrong,288,rank_exact,RR,GPT-4,391,0.7365728900255755
14,0.9929486436989288,0.9669302938675338,JARI14-baseline,Wrong,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
14,0.8253557942820167,0.7444931792073082,JARI14-baseline,Wrong,308,rank_exact,RR,GPT-4,391,0.7877237851662404
5,0.9625524543114384,0.9162812959143202,JARI5-baseline,Correct,369,rank_bin_overall,RR,GPT-4,391,0.9437340153452686
5,0.3989201687522707,0.3047583650332805,JARI5-baseline,Correct,137,rank_exact,RR,GPT-4,391,0.3503836317135549
9,0.8417983281107992,0.7635079148400834,JARI5-baseline,Correct,315,rank_bin_overall,RR,GPT-4,391,0.8056265984654731
9,0.3779847795634761,0.2851711605517232,JARI5-baseline,Correct,129,rank_exact,RR,GPT-4,391,0.329923273657289
14,0.5099081441821148,0.4115793305815783,JARI5-baseline,Correct,180,rank_bin_overall,RR,GPT-4,391,0.4603580562659846
14,0.4430997528533064,0.3466892924817428,JARI5-baseline,Correct,154,rank_exact,RR,GPT-4,391,0.3938618925831202
5,0.9878438842308536,0.956839080709227,JARI5-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.7945248363140802,0.7094749224609225,JARI5-baseline,Wrong,295,rank_exact,RR,GPT-4,391,0.7544757033248082
9,0.9945258140782346,0.970418447697022,JARI5-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
9,0.7657643310226588,0.6774515372468161,JARI5-baseline,Wrong,283,rank_exact,RR,GPT-4,391,0.7237851662404092
14,0.999548387796983,0.9856571708134496,JARI5-baseline,Wrong,390,rank_bin_overall,RR,GPT-4,391,0.9974424552429668
14,0.8087994355061654,0.7255922685216014,JARI5-baseline,Wrong,301,rank_exact,RR,GPT-4,391,0.7698209718670077
5,0.9895967538178524,0.960151535331022,JARI9-baseline,Correct,383,rank_bin_overall,RR,GPT-4,391,0.979539641943734
5,0.9327528555725604,0.8751663557300822,JARI9-baseline,Correct,355,rank_exact,RR,GPT-4,391,0.907928388746803
9,0.9823581474561264,0.947128844857572,JARI9-baseline,Correct,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
9,0.8696856578279965,0.7964044756284142,JARI9-baseline,Correct,327,rank_exact,RR,GPT-4,391,0.8363171355498721
14,0.978553554511301,0.9408027893848095,JARI9-baseline,Correct,377,rank_bin_overall,RR,GPT-4,391,0.9641943734015346
14,0.8834663098716568,0.8130157688375178,JARI9-baseline,Correct,333,rank_exact,RR,GPT-4,391,0.8516624040920716
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,rank_bin_overall,RR,GPT-4,391,0.9769820971867008
5,0.820636573683457,0.7390817513882798,JARI9-baseline,Wrong,306,rank_exact,RR,GPT-4,391,0.782608695652174
9,0.997387249779346,0.9776876604134984,JARI9-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.789750458603189,0.7041186517542258,JARI9-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
14,0.9945258140782346,0.970418447697022,JARI9-baseline,Wrong,386,rank_bin_overall,RR,GPT-4,391,0.9872122762148338
14,0.8182735579228833,0.7363794429400594,JARI9-baseline,Wrong,305,rank_exact,RR,GPT-4,391,0.7800511508951407
5,0.9960146924570076,0.9739948935270428,JARI14-baseline,Correct,387,rank_bin_overall,RR,GPT-4,391,0.989769820971867
5,0.9625524543114384,0.9162812959143202,JARI14-baseline,Correct,369,rank_exact,RR,GPT-4,391,0.9437340153452686
9,0.9929486436989288,0.9669302938675338,JARI14-baseline,Correct,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
9,0.8719905810605654,0.7991648766046392,JARI14-baseline,Correct,328,rank_exact,RR,GPT-4,391,0.8388746803069054
14,0.9766158224274766,0.93767519725984,JARI14-baseline,Correct,376,rank_bin_overall,RR,GPT-4,391,0.9616368286445012
14,0.8673776183924268,0.79364719085519,JARI14-baseline,Correct,326,rank_exact,RR,GPT-4,391,0.8337595907928389
5,0.9823581474561264,0.947128844857572,JARI14-baseline,Wrong,379,rank_bin_overall,RR,GPT-4,391,0.969309462915601
5,0.789750458603189,0.7041186517542258,JARI14-baseline,Wrong,293,rank_exact,RR,GPT-4,391,0.7493606138107417
9,0.997387249779346,0.9776876604134984,JARI14-baseline,Wrong,388,rank_bin_overall,RR,GPT-4,391,0.9923273657289002
9,0.7777806685769929,0.690761820736452,JARI14-baseline,Wrong,288,rank_exact,RR,GPT-4,391,0.7365728900255755
14,0.9929486436989288,0.9669302938675338,JARI14-baseline,Wrong,385,rank_bin_overall,RR,GPT-4,391,0.9846547314578004
14,0.8253557942820167,0.7444931792073082,JARI14-baseline,Wrong,308,rank_exact,RR,GPT-4,391,0.7877237851662404
