judge,prompt,ari,metric_kind,swap_flip_rate,sfr_ci_low,sfr_ci_high,flips_count,position_advantage_index,pos1_win_rate_avg,pos1_win_rate_orderA,pos1_win_rate_orderB,tie_rate_any,n_pairs_strict,n_pairs_total
PoLL,cot,9,rank,0.10230179028132992,0.07603044498588205,0.13631164066754436,40,0.09718670076726332,0.5485933503836317,0.9974424552429667,0.09974424552429667,0.0,391.0,391.0
PoLL,cot,14,rank,0.23017902813299232,0.1912005642085801,0.2744077318456739,90,0.21483375959079276,0.6074168797953964,0.9923273657289002,0.22250639386189258,0.0,391.0,391.0
Qwen,baseline,5,rank,0.0792838874680307,0.05641488992583436,0.1103392778554431,31,0.07416879795396425,0.5370843989769821,0.9948849104859335,0.0792838874680307,0.0,391.0,391.0
Qwen,baseline,9,rank,0.08184143222506395,0.058566917849574435,0.11325257413971959,32,0.07161125319693107,0.5358056265984655,0.9948849104859335,0.07672634271099744,0.0,391.0,391.0
Qwen,baseline,14,rank,0.07161125319693094,0.05000716267954877,0.10155103247767905,28,0.05626598465473154,0.5281329923273658,0.9923273657289002,0.0639386189258312,0.0,391.0,391.0
Qwen,cot,5,rank,0.058823529411764705,0.039513674241630894,0.08671789987551416,23,0.038363171355498826,0.5191815856777494,0.989769820971867,0.04859335038363171,0.0,391.0,391.0
Qwen,cot,9,rank,0.028132992327365727,0.01578026415112828,0.04966741946981819,11,0.012787723785166127,0.5063938618925831,0.9923273657289002,0.020460358056265986,0.0,391.0,391.0
Qwen,cot,14,rank,0.0792838874680307,0.05641488992583436,0.1103392778554431,31,0.06393861892583108,0.5319693094629155,0.9923273657289002,0.07161125319693094,0.0,391.0,391.0
gpt-3,baseline,5,rank,0.5396419437340153,0.48753996995529625,0.5859072310609439,211,0.5345268542199488,0.7672634271099744,0.9948849104859335,0.5396419437340153,0.0,391.0,391.0
gpt-3,baseline,9,rank,0.40153452685422,0.35413065524553816,0.45085436274582474,157,0.3964194373401535,0.6982097186700768,0.9948849104859335,0.40153452685422,0.0,391.0,391.0
gpt-3,baseline,14,rank,0.7468030690537084,0.7014434553423973,0.7873603307311999,292,0.7468030690537084,0.8734015345268542,0.9948849104859335,0.7519181585677749,0.0,391.0,391.0
gpt-3,cot,5,rank,0.24552429667519182,0.20547516339130387,0.2905250779110494,96,0.23529411764705888,0.6176470588235294,0.9923273657289002,0.24296675191815856,0.0,391.0,391.0
gpt-3,cot,9,rank,0.17647058823529413,0.14188459967979677,0.21735188800610966,69,0.17647058823529416,0.5882352941176471,1.0,0.17647058823529413,0.0,391.0,391.0
gpt-3,cot,14,rank,0.49104859335038364,0.44182536580343956,0.5404459994685027,192,0.49104859335038364,0.7455242966751918,0.9974424552429667,0.4936061381074169,0.0,391.0,391.0
gpt-4,baseline,5,rank,0.020618556701030927,0.01048396224796062,0.04015248377269068,8,0.01534526854219953,0.5076726342710998,0.9948849104859335,0.020460358056265986,0.0076726342710997444,388.0,391.0
gpt-4,baseline,9,rank,0.02313624678663239,0.012218854660762798,0.04337980578483895,9,0.020460358056265893,0.510230179028133,0.9974424552429667,0.023017902813299233,0.005115089514066497,389.0,391.0
gpt-4,baseline,14,rank,0.04092071611253197,0.025342700599427316,0.06543160406160192,16,0.04092071611253201,0.520460358056266,0.9974424552429667,0.043478260869565216,0.0,391.0,391.0
gpt-4,cot,5,rank,0.01282051282051282,0.00548825335081907,0.029656494793808896,5,0.01278772378516635,0.5063938618925832,0.9948849104859335,0.017902813299232736,0.0025575447570332483,390.0,391.0
gpt-4,cot,9,rank,0.002564102564102564,0.0004527705452330331,0.014379235455071315,1,0.002557544757033181,0.5012787723785166,0.9974424552429667,0.005115089514066497,0.0025575447570332483,390.0,391.0
gpt-4,cot,14,rank,0.017902813299232736,0.00869859191862017,0.03648779487026009,7,0.01790281329923271,0.5089514066496164,0.989769820971867,0.028132992327365727,0.0,391.0,391.0
llama-3-70b,baseline,5,rank,0.319693094629156,0.2754141010859036,0.3674805422489297,125,0.3145780051150895,0.6572890025575447,0.9923273657289002,0.32225063938618925,0.0,391.0,391.0
llama-3-70b,baseline,9,rank,0.49230769230769234,0.44300779287238506,0.5417576505193722,192,0.48849104859335046,0.7442455242966752,0.9948849104859335,0.4936061381074169,0.0025575447570332483,390.0,391.0
llama-3-70b,baseline,14,rank,0.38618925831202044,0.3392602452921447,0.4353328274511189,151,0.38618925831202056,0.6930946291560103,0.9923273657289002,0.3938618925831202,0.0,391.0,391.0
llama-3-70b,cot,5,rank,0.0,0.0,0.011270515312029147,0,-0.028132992327365824,0.4859335038363171,0.9718670076726342,0.0,0.13810741687979539,337.0,391.0
llama-3-70b,cot,9,rank,0.019553072625698324,0.009503086144794842,0.039804306480849476,7,0.010230179028132946,0.5051150895140665,0.989769820971867,0.020460358056265986,0.08439897698209718,358.0,391.0
llama-3-70b,cot,14,rank,0.10236220472440945,0.07578740151322512,0.13687538985858472,39,0.09462915601023014,0.5473145780051151,0.9923273657289002,0.10230179028132992,0.02557544757033248,381.0,391.0
